relationship,guidance,social,collaboration,funding,benefits,publications,teaching,careersupport,Age,Gender,LatinoHispanic,MiddleEastern,African,SouthAsian,EastAsian,OtherEth,Africa,Asia,Australasia,NorthCentralAmerica,SouthAmerica,PhDReason,HoursWorked,HoursMeeting,Anxiety,Bullying,Discrimination,Caring,Class1,Class2,Class3,Class4,Class5,Class6,Class,ID
5,3,3,4,1,2,4,4,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,.016,.019,.963,0,.002,4,1429
4,3,3,4,4,4,2,3,3,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,.566,.008,.421,0,.005,2,1430
5,4,6,4,6,6,5,3,6,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,.007,0,.993,6,1432
6,6,6,3,2,6,5,3,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,.065,0,.935,6,1433
5,5,5,5,4,5,3, ,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,.001,0,.169,0,.83,6,1435
5,1,3,1,5,5,1,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,.158,.431,.411,0,0,3,1437
5,3,5,4,2,2,3,3,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,.017,.003,.973,0,.007,4,1439
3,2,3,3,6,3,3,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.757,.188,.004,.051,0,2,1442
6,6,5,6,5,6,6,5,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,.001,0,.999,6,1445
3,2,1,1,4,3,1,5,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,.002,.204,.742,.001,.051,0,3,1446
5,4,6,5,3,6,3,3,3,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,.009,0,.473,0,.518,6,1447
0,0,1,0,5,5,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,.967,0,0,0,.033,0,1,1448
5,5,6,6,4,3,5,2,6,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,.02,0,.98,6,1450
5,6,5,5,3,5,3,5,4,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,.085,0,.915,6,1460
6,5,4,5,5,4,4,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,.055,0,.945,6,1461
4,4,5,4,5,5,4,4,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,.114,0,.122,0,.764,6,1462
2,3,5,6,5,5,0,3,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,.946,0,0,.054,0,2,1466
3,4,4,2,0,6,2,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,.954,.01,.035,.001,0,2,1471
3,5,3,3,1,3,3,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,.873,.008,.118,0,0,2,1473
5,4,4,4,5,5,3,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,.023,0,.831,0,.146,4,1475
5,4,3,5,5,4,2,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,.015,0,.882,0,.103,4,1480
5,4,5,4,5,4,2,6,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.006,0,.293,0,.701,6,1481
6,3,6,6,5,6,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,.001,0,.863,0,.135,4,1486
6,3,5,5,0,2,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,.312,0,.688,6,1487
3,3,3,3,5,2,0, ,2,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,.812,.16,.017,.011,0,2,1492
5,5,6,5,6,5,5,5,5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,.004,0,.996,6,1500
3,4,5,4,4,3,5,5,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,.963,.001,.035,.001,.001,2,1503
6,6,4,5,4,5,5,5,5,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.006,0,.994,6,1505
4,1,3,0,1,5,3,5,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,.511,.428,.061,.001,0,2,1509
5,4,3,4,5,3,5,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.014,0,.734,0,.252,4,1519
0,0,3,0,3,0,3,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,.893,0,0,0,.107,0,1,1525
5,4,5,4,5,5,4,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,.014,0,.527,0,.459,4,1530
3,1,4,5,4,2,1,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,.916,.058,.007,.019,0,2,1538
6,2,6,4,2,5,3,5,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,.001,0,.695,0,.304,4,1546
4,4,2,3,3, ,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.313,.149,.538,0,.001,4,1551
4,4,4,4,4,4,3,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,.301,0,.459,0,.24,4,1553
6,6,4,3,3,5,3,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.396,0,.604,6,1564
3,1,2,0,0,0,4,3,2,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,.004,.012,.982,0,.002,0,3,1568
5,0,6,1,5,6,3, ,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.437,.055,.489,0,.019,4,1569
4,4,5,4,0,2,2,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.171,.103,.726,0,0,4,1574
2,5,5,2,3,4,4,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.958,.002,.001,.039,0,2,1578
3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.032,0,.967,0,0,0,3,1588
6,2,4,6,3,6,0,3,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,.001,0,.92,0,.078,4,1591
5,5,6,6,5,6,2,6,5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,.006,0,.994,6,1593
6,4,1,5,4,5,4,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,.001,0,.867,0,.132,4,1594
3,3,2,3,6,3,0,3,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,.878,.097,.013,.013,0,2,1596
5,5,5,6,3,5,6,4,5,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,.011,0,.989,6,1598
1,1,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,.992,0,.001,0,.007,0,1,1600
3,4,2,0,3,0,0,3,5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,.601,.353,.044,.001,0,2,1606
6,6,0,6,6,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.001,.999,0,.001,4,1617
5,5,4,4,5,3,2,4,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,.005,0,.626,0,.37,4,1620
4,4,5,4,5,6,2,5,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.135,0,.127,0,.738,6,1621
5,3,4,4,3,5,4,4,5,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,.012,0,.333,0,.655,6,1622
6,6,3,6,6,6,3,3,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,.101,0,.899,6,1623
4,2,4,2,1,5,2,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.436,.428,.136,0,0,2,1624
6,5,5,4,6,6,0,6,5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.028,0,.972,6,1633
1,6,3,3,6,1,2,2,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,.794,0,0,.206,0,2,1636
5,5,4,4,5,2,4,3,5,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.002,0,.348,0,.65,6,1637
5,4,2,2,5,1,4,4,5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.012,0,.872,0,.115,4,1640
5,6,5,6,5,6,1, ,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,.074,0,.926,6,1644
1,2,2,5,3,1,5,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,.003,.027,0,0,.97,0,5,1658
4,0,2,4,3,6,1, ,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,.544,.419,.035,.001,0,2,1662
4,3,3,3,4,4,3,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,.612,.013,.371,0,.005,2,1682
0,1,3,4,4,5,0,2,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,.01,0,0,0,.989,0,5,1691
4,5,3,3,5,4,3,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,.253,0,.574,0,.173,4,1692
4,1,0,3,5,5,0,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,.154,.83,.015,.001,0,3,1694
6, ,5,4,3,3,3, , ,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,.589,0,.411,4,1698
5,4,6,5,3,0,2,5,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.005,0,.916,0,.08,4,1702
6,6,4,5, ,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.046,0,.954,6,1703
2,1,6,5,6, ,1,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,.465,.001,0,.534,0,5,1708
5,4,6,4,5,2, ,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,.014,.001,.97,0,.015,4,1709
6,4,6,2,0,0,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.003,.996,0,.001,4,1710
3,2,6,1,3,6,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.9,.07,.003,.026,0,2,1716
6,6,6,5,3, ,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.009,0,.991,6,1737
0,0,1,2,3,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,.215,0,0,0,.785,0,5,1739
1,1,0,6, ,6,4, ,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,.003,.036,0,0,.961,0,5,1740
6,6,4,1,2,2, ,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.001,.995,0,.004,4,1745
4,2,4,6,5,3,3, ,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,.652,.001,.321,0,.026,2,1746
4,5,2,3,4,4,3,4,4,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,.248,0,.667,0,.084,4,1749
6,3,3,6,2,3,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,.732,0,.268,4,1753
4,5,0,5,6,0,3, ,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,.159,.044,.796,0,.001,4,1758
4,3,5,5,3,0,5,3,4,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,.287,.001,.66,0,.053,4,1766
1,0,3,2,2,2,1,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,.22,0,.001,0,.779,0,5,1769
5,4,2,2,0,0,2, ,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,.003,.513,.484,0,0,3,1774
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1788
5,6,1,5,5,0,1, ,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,.002,.002,.994,0,.002,4,1799
5,4,1,1,0,6,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.015,.358,.627,0,0,4,1802
5,5,5,3,3,3,4,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.002,0,.306,0,.692,6,1804
5,4,5,4,4,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.016,.001,.967,0,.015,4,1805
2,1,4,3,5,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,.672,.004,0,.323,0,2,1807
2,2,3,5,6,6,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.986,0,0,.014,0,2,1814
1,2,4,1,6,6,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.001,.002,0,0,.998,0,5,1816
1,2,3,2,4,1,3,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,.059,.008,.001,0,.932,0,5,1819
5,5,5,5,5,5,3,5,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.005,0,.402,0,.594,6,1822
3,2,4,4,6,5,2,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,.992,0,.005,.002,0,2,1824
5,5,5,5,4,3,3,3,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,.001,0,.225,0,.773,6,1825
4,4,2,6,6,0,6, ,4,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.181,0,.554,0,.265,4,1829
4,5,3,4,4, ,4, ,2,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,.238,.002,.717,0,.044,4,1830
4,4,4,4,2,6, ,3,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,.429,.003,.55,0,.018,4,1831
5,2,4,5,1,4,4,5,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,.035,0,.876,0,.089,4,1835
5,5,4,4,4,4,4,4,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,.003,0,.337,0,.66,6,1841
6,5,4,4,3,6,5,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.281,0,.719,6,1843
1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1844
2,4,4,4,4,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,.001,.494,.061,.001,.443,0,2,1845
2,2,4,3,1, ,5, ,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,.001,.832,.016,0,.151,0,2,1847
0,0,0,0,5,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,.999,0,0,0,.001,0,1,1850
5,5,5,5,5,5,5,5,5,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,.009,0,.991,6,1854
6,6,3,6,5,1,1,6,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,.792,0,.208,4,1857
0,0,0,4,5,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,.91,0,0,0,.09,0,1,1859
1,2,4,3,2,3,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,.002,.108,0,0,.89,0,5,1864
3,4,3,4,4,3,2, ,3,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,.95,.004,.045,0,.001,2,1876
0,0,0,2,1,1,3,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,.988,0,0,0,.012,0,1,1880
6,4,5,5,3,3,5,3,3,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,.533,0,.467,4,1883
4,5,3,3,5,5,2,5,5,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,.17,0,.345,0,.485,6,1888
6,5,5,5,6,6,5,6,6,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,6,1889
6,5,5,6,6,6,5,6,5,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,.001,0,.999,6,1897
0,3,3,3,6,6,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,.003,0,0,0,.996,0,5,1909
3,2,6,2,2,3,3,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.981,.006,.012,.002,0,2,1915
6,6,0,4,3,1,1,5,6,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,.697,0,.303,4,1917
5,2,6,6,6,5,6,3,6,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.001,0,.007,0,.992,6,1918
2,3,5,4,3,6,1, ,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,.961,0,0,.039,0,2,1922
5,5,5,3,3,0,3,3,3,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,.003,0,.976,0,.02,4,1925
5,4,3,4,5,4,2,6,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,.019,0,.887,0,.093,4,1926
1,3,3,1,3,6,3,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,.016,.01,0,0,.973,0,5,1927
5,2,2,4,2,4,5,4,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,.038,0,.745,0,.217,4,1928
0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,.998,0,0,0,.002,0,1,1931
5,4,3,5,0,0,0, ,3,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,.003,.006,.99,0,.001,4,1932
4,5,5,4,6,6,2,5,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,.036,0,.059,0,.905,6,1938
5,4,6,2,2,3,3,6,4,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.009,0,.689,0,.302,4,1946
3,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,.064,0,.935,0,.001,0,3,1949
2,2,0,3,2,0,5,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,.163,.069,.481,0,.287,0,3,1952
5,5,5,4,5,6,4,3,5,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,.001,0,.043,0,.957,6,1957
4,3,1,3,2,3,3,3,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,.329,.348,.323,0,0,3,1964
5,4,4,5,5,3,3,2,4,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,.01,0,.734,0,.257,4,1973
5,5,6,5,0,4,3,3,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.002,0,.592,0,.406,4,1975
1,1,1,6,5,5,0, ,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,.001,.057,0,0,.942,0,5,1980
2,2,5,4,2,3,1,3,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,.7,.01,0,.29,0,2,1985
6,5,6,5,3,3,5,4,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.407,0,.593,6,1988
5,4,5,6,6,6,0,6,3,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,.006,0,.234,0,.761,6,1991
5,5,2,3,2,2,2,4,2,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,.005,.003,.989,0,.003,4,1992
0,0,0,1,5,3,0, ,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,.922,0,0,0,.078,0,1,1993
4,4,3,6,6,0,2,3,5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,.176,0,.703,0,.121,4,1994
3,3,2,5,3,1,3,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,.813,.148,.037,.002,0,2,1998
4,4,3,1,4,3,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,.069,.856,.074,0,0,3,2000
3,1,3,2,4,4,5,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,.572,.396,.001,.03,0,2,2002
2,4,2,1,3,4,1,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,.003,.901,.036,.001,.06,0,2,2003
2,2,4,2,3,4,2,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,.002,.532,.018,0,.448,0,2,2005
6,3,3,4,6,4,4, ,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,.001,0,.855,0,.144,4,2007
0,4,3,3,3,3,0,4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,.018,0,0,0,.982,0,5,2009
0,1,1,3,2,3,2,3,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,.202,0,0,0,.798,0,5,2018
0,0,3,0,5,0,0,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,.895,0,0,0,.105,0,1,2020
1,1,3,5,5,4,1,3,3,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,.066,0,0,.933,0,5,2026
6,3,5,6,4,4,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.226,0,.774,6,2028
3,2,3,4,5,3,2,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,.933,.05,.008,.009,0,2,2031
4,3,1,4,5,4,3,4,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,.632,.022,.344,0,.002,2,2032
5,6,3, ,5, , ,5, ,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,.001,0,.281,0,.718,6,2033
6,6,5,5,5,6, , ,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.056,0,.944,6,2034
5,4,5,5,5,5,3,5,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.007,0,.293,0,.7,6,2036
2,4,3,5,5,5,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,.975,0,.001,.025,0,2,2038
6,4,1,2,6,4,3, ,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,.001,0,.936,0,.063,4,2042
4,1,2,5,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,.012,.982,.006,0,0,3,2043
2,2,1,3,2, , , ,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.079,.202,.231,0,.489,0,5,2044
6,6,5,6,6,5,5,6,5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,.001,0,.999,6,2047
4,6,5,6,5,5,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.002,0,.01,0,.988,6,2066
6,5,5,4,3,3,5,3,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,.269,0,.731,6,2067
6,6,3,6,6,6,5,6,4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,.003,0,.997,6,2071
6,6,6,5,5,5,0,2,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,.472,0,.528,6,2075
0,0,0,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,.998,0,0,0,.002,0,1,2081
6,2,3,5,4,4,6,5,4,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,.231,0,.769,6,2087
3,6,6,3,6,6,3,6,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,.528,0,.034,0,.438,2,2091
5,4,4,3,2, ,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.011,.001,.956,0,.032,4,2094
5,4,2,4,6,3,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.017,.001,.961,0,.021,4,2097
3,2,5,4,3,0,5,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,.934,.04,.018,.007,0,2,2099
5,6,6,5,3,1,1,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.001,0,.856,0,.143,4,2101
5,6,1,6,4,5,5,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,.018,0,.982,6,2102
5,4,3,6,4,4,6,4,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,.002,0,.148,0,.85,6,2106
1,1,3,1,5,6,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,.002,.002,0,0,.996,0,5,2107
