"","ID","HomeCountry","relationship","guidance","social","collaboration","funding","benefits","publications","teaching","careersupport","Academia","DeltaA","PrepR","PrepNR","Age","Gender","Caucasian","Latino/Hispanic","Middle Eastern","African","South Asian","East Asian","OtherEth","Africa","Aisa (including Middle East)","Australasia","Europe","North or Central America","South America","PhDReason","HoursWorked","HoursMeeting","Anxiety","Bullying","Discrimination","Caring"
"1445",1445,0,6,6,5,6,5,6,6,5,5,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"1446",1446,0,3,2,1,1,4,3,1,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0
"1447",1447,0,5,4,6,5,3,6,3,3,3,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"1448",1448,0,0,0,1,0,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0
"1450",1450,0,5,5,6,6,4,3,5,2,6,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"1460",1460,0,5,6,5,5,3,5,3,5,4,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1
"1461",1461,0,6,5,4,5,5,4,4,3,5,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0
"1462",1462,0,4,4,5,4,5,5,4,4,5,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0
"1466",1466,0,2,3,5,6,5,5,0,3,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
"1471",1471,0,3,4,4,2,0,6,2,3,3,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0
"1473",1473,0,3,5,3,3,1,3,3,3,3,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0
"1475",1475,0,5,4,4,4,5,5,3,4,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
"1480",1480,0,5,4,3,5,5,4,2,3,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"1481",1481,0,5,4,5,4,5,4,2,6,4,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"1486",1486,0,6,3,6,6,5,6,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0
"1487",1487,0,6,3,5,5,0,2,5,5,5,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0
"1492",1492,0,3,3,3,3,5,2,0,NA,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0
"1500",1500,0,5,5,6,5,6,5,5,5,5,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1
"1503",1503,0,3,4,5,4,4,3,5,5,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0
"1505",1505,0,6,6,4,5,4,5,5,5,5,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"1509",1509,0,4,1,3,0,1,5,3,5,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0
"1519",1519,0,5,4,3,4,5,3,5,4,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"1525",1525,0,0,0,3,0,3,0,3,3,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1
"1530",1530,0,5,4,5,4,5,5,4,3,3,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"1538",1538,0,3,1,4,5,4,2,1,3,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0
"1546",1546,0,6,2,6,4,2,5,3,5,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"1551",1551,0,4,4,2,3,3,NA,1,3,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"1553",1553,0,4,4,4,4,4,4,3,5,4,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0
"1564",1564,0,6,6,4,3,3,5,3,5,3,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"1568",1568,0,3,1,2,0,0,0,4,3,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
"1569",1569,0,5,0,6,1,5,6,3,NA,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"1574",1574,0,4,4,5,4,0,2,2,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"1578",1578,0,2,5,5,2,3,4,4,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1588",1588,0,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"1591",1591,0,6,2,4,6,3,6,0,3,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"1593",1593,0,5,5,6,6,5,6,2,6,5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"1594",1594,0,6,4,1,5,4,5,4,6,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
"1596",1596,0,3,3,2,3,6,3,0,3,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0
"1598",1598,0,5,5,5,6,3,5,6,4,5,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"1600",1600,0,1,1,1,1,3,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
"1606",1606,0,3,4,2,0,3,0,0,3,5,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0
"1617",1617,0,6,6,0,6,6,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"1620",1620,0,5,5,4,4,5,3,2,4,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"1621",1621,0,4,4,5,4,5,6,2,5,5,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"1622",1622,0,5,3,4,4,3,5,4,4,5,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0
"1623",1623,0,6,6,3,6,6,6,3,3,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1
"1624",1624,0,4,2,4,2,1,5,2,4,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"1633",1633,0,6,5,5,4,6,6,0,6,5,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1636",1636,0,1,6,3,3,6,1,2,2,3,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0
"1637",1637,0,5,5,4,4,5,2,4,3,5,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"1640",1640,0,5,4,2,2,5,1,4,4,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1644",1644,0,5,6,5,6,5,6,1,NA,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
"1658",1658,0,1,2,2,5,3,1,5,5,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0
"1662",1662,0,4,0,2,4,3,6,1,NA,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0
"1682",1682,0,4,3,3,3,4,4,3,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0
"1691",1691,0,0,1,3,4,4,5,0,2,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0
"1692",1692,0,4,5,3,3,5,4,3,4,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"1694",1694,0,4,1,0,3,5,5,0,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0
"1698",1698,0,6,NA,5,4,3,3,3,NA,NA,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
"1702",1702,0,5,4,6,5,3,0,2,5,3,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1703",1703,0,6,6,4,5,NA,4,4,5,4,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1708",1708,0,2,1,6,5,6,NA,1,4,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
"1709",1709,0,5,4,6,4,5,2,NA,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0
"1710",1710,0,6,4,6,2,0,0,2,6,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"1716",1716,0,3,2,6,1,3,6,3,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"1737",1737,0,6,6,6,5,3,NA,6,3,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"1739",1739,0,0,0,1,2,3,5,2,4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0
"1740",1740,0,1,1,0,6,NA,6,4,NA,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
"1745",1745,0,6,6,4,1,2,2,NA,5,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1746",1746,0,4,2,4,6,5,3,3,NA,3,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
"1749",1749,0,4,5,2,3,4,4,3,4,4,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
"1753",1753,0,6,3,3,6,2,3,6,3,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
"1758",1758,0,4,5,0,5,6,0,3,NA,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"1766",1766,0,4,3,5,5,3,0,5,3,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0
"1769",1769,0,1,0,3,2,2,2,1,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0
"1774",1774,0,5,4,2,2,0,0,2,NA,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0
"1788",1788,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0
"1799",1799,0,5,6,1,5,5,0,1,NA,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"1802",1802,0,5,4,1,1,0,6,3,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"1804",1804,0,5,5,5,3,3,3,4,4,5,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"1805",1805,0,5,4,5,4,4,3,5,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"1807",1807,0,2,1,4,3,5,3,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"1814",1814,0,2,2,3,5,6,6,1,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1816",1816,0,1,2,4,1,6,6,0,6,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"1819",1819,0,1,2,3,2,4,1,3,3,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
"1822",1822,0,5,5,5,5,5,5,3,5,2,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1824",1824,0,3,2,4,4,6,5,2,5,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"1825",1825,0,5,5,5,5,4,3,3,3,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"1829",1829,0,4,4,2,6,6,0,6,NA,4,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"1830",1830,0,4,5,3,4,4,NA,4,NA,2,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"1831",1831,0,4,4,4,4,2,6,NA,3,2,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"1835",1835,0,5,2,4,5,1,4,4,5,3,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
"1841",1841,0,5,5,4,4,4,4,4,4,4,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"1843",1843,0,6,5,4,4,3,6,5,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"1844",1844,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1
"1845",1845,0,2,4,4,4,4,0,0,4,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1
"1847",1847,0,2,2,4,3,1,NA,5,NA,2,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
"1850",1850,0,0,0,0,0,5,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
"1854",1854,0,5,5,5,5,5,5,5,5,5,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
"1857",1857,0,6,6,3,6,5,1,1,6,2,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0
"1859",1859,0,0,0,0,4,5,0,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1
"1864",1864,0,1,2,4,3,2,3,0,4,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"1876",1876,0,3,4,3,4,4,3,2,NA,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"1880",1880,0,0,0,0,2,1,1,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0
"1883",1883,0,6,4,5,5,3,3,5,3,3,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1
"1888",1888,0,4,5,3,3,5,5,2,5,5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0
"1889",1889,0,6,5,5,5,6,6,5,6,6,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
"1897",1897,0,6,5,5,6,6,6,5,6,5,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0
"1909",1909,0,0,3,3,3,6,6,0,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0
"1915",1915,0,3,2,6,2,2,3,3,3,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1917",1917,0,6,6,0,4,3,1,1,5,6,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0
"1918",1918,0,5,2,6,6,6,5,6,3,6,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"1922",1922,0,2,3,5,4,3,6,1,NA,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0
"1925",1925,0,5,5,5,3,3,0,3,3,3,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0
"1926",1926,0,5,4,3,4,5,4,2,6,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
"1927",1927,0,1,3,3,1,3,6,3,3,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1
"1928",1928,0,5,2,2,4,2,4,5,4,5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"1931",1931,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0
"1932",1932,0,5,4,3,5,0,0,0,NA,3,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"1938",1938,0,4,5,5,4,6,6,2,5,5,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0
"1946",1946,0,5,4,6,2,2,3,3,6,4,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"1949",1949,0,3,0,0,0,1,3,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1
"1952",1952,0,2,2,0,3,2,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0
"1957",1957,0,5,5,5,4,5,6,4,3,5,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"1964",1964,0,4,3,1,3,2,3,3,3,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"1973",1973,0,5,4,4,5,5,3,3,2,4,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0
"1975",1975,0,5,5,6,5,0,4,3,3,4,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"1980",1980,0,1,1,1,6,5,5,0,NA,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
"1985",1985,0,2,2,5,4,2,3,1,3,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0
"1988",1988,0,6,5,6,5,3,3,5,4,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"1991",1991,0,5,4,5,6,6,6,0,6,3,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"1992",1992,0,5,5,2,3,2,2,2,4,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"1993",1993,0,0,0,0,1,5,3,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0
"1994",1994,0,4,4,3,6,6,0,2,3,5,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0
"1998",1998,0,3,3,2,5,3,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0
"2000",2000,0,4,4,3,1,4,3,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"2002",2002,0,3,1,3,2,4,4,5,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0
"2003",2003,0,2,4,2,1,3,4,1,1,4,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"2005",2005,0,2,2,4,2,3,4,2,3,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
"2007",2007,0,6,3,3,4,6,4,4,NA,2,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"2009",2009,0,0,4,3,3,3,3,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0
"2018",2018,0,0,1,1,3,2,3,2,3,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0
"2020",2020,0,0,0,3,0,5,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0
"2026",2026,0,1,1,3,5,5,4,1,3,3,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0
"2028",2028,0,6,3,5,6,4,4,6,3,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"2031",2031,0,3,2,3,4,5,3,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1
"2032",2032,0,4,3,1,4,5,4,3,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
"2033",2033,0,5,6,3,NA,5,NA,NA,5,NA,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0
"2034",2034,0,6,6,5,5,5,6,NA,NA,3,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"2036",2036,0,5,4,5,5,5,5,3,5,3,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"2038",2038,0,2,4,3,5,5,5,2,5,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0
"2042",2042,0,6,4,1,2,6,4,3,NA,3,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
"2043",2043,0,4,1,2,5,4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
"2044",2044,0,2,2,1,3,2,NA,NA,NA,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2047",2047,0,6,6,5,6,6,5,5,6,5,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"2066",2066,0,4,6,5,6,5,5,3,6,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"2067",2067,0,6,5,5,4,3,3,5,3,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"2071",2071,0,6,6,3,6,6,6,5,6,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0
"2075",2075,0,6,6,6,5,5,5,0,2,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"2081",2081,0,0,0,0,0,3,3,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0
"2087",2087,0,6,2,3,5,4,4,6,5,4,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1
"2091",2091,0,3,6,6,3,6,6,3,6,4,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
"2094",2094,0,5,4,4,3,2,NA,2,2,4,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2097",2097,0,5,4,2,4,6,3,1,3,3,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2099",2099,0,3,2,5,4,3,0,5,4,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0
"2101",2101,0,5,6,6,5,3,1,1,4,3,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"2102",2102,0,5,6,1,6,4,5,5,6,5,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
"2106",2106,0,5,4,3,6,4,4,6,4,4,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
"2107",2107,0,1,1,3,1,5,6,1,6,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"2109",2109,0,3,2,5,3,1,4,3,3,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2114",2114,0,6,5,5,5,5,3,4,2,4,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2117",2117,0,5,4,1,4,4,4,NA,3,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"2118",2118,0,5,5,5,6,0,6,5,3,3,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0
"2122",2122,0,2,2,4,5,1,1,1,2,2,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
